"_tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopicsList","primaryLanguage","languagesList","diskUsage","relatedTopicsList"
"[""java"",""markers"",""vuforia""]","2017-02-06T16:29:35Z","ASPePeX/AR-Marker-Generator",21,"a processing sketch that generates markers for augmented reality applications like vuforia","[""processing"",""augmented-reality"",""ar-markers"",""vuforia"",""java""]","Processing","[""Processing""]",165,"[""wechat"",""python"",""weather"",""recommender-system"",""weixin"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""android"",""gradle"",""kotlin"",""javafx""]"
"[""app""]","2019-01-09T18:48:04Z","Aayush005/ARravel",3,"an arvr travel app that converts  image intoa d model of mixed reality arvr","null","Java","[""Java""]",5629,"null"
"[]","2018-03-16T22:44:47Z","Abhey/Vision",5,"vision is your augmented reality ar assistant which encompasses multiple features and provides a hasslefree user interface","[""augmented-reality"",""assistant""]","C#","[""C#"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""ShaderLab"",""HTML"",""Shell"",""Python"",""HLSL""]",237514,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi""]"
"[""unity""]","2019-03-19T15:54:05Z","AccionaMixedReality/acciona.mlutils",3,"some powerfull extra tools for magic leap development with unity made by the advanced and digital innovation hub from acciona sa","null","C#","[""C#""]",1633,"null"
"[""app"",""apple"",""arkit"",""ios"",""swift""]","2017-06-10T23:04:52Z","AcroMace/DreamBig",23," d emoji drawing ipad app with arkit and the apple pencil ","[""arkit"",""augmented-reality"",""ios"",""swift"",""ipad"",""emoji"",""emojis"",""drawing"",""ios11""]","Swift","[""Swift"",""Shell""]",804,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""macos"",""swiftui"",""objective-c"",""documentation"",""translation"",""i18n"",""localization"",""documentation"",""translation"",""i18n"",""localization"",""emoji"",""image"",""svg"",""image-processing"",""icons"",""font"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""azure"",""unity""]","2018-01-16T20:40:47Z","ActiveNick/AzureStorageDemoUnity3D",5,"sample unity project used to demonstrate the use of azure storage services in games and mixed reality projects","null","C#","[""C#"",""ShaderLab""]",198722,"null"
"[""game"",""hololens"",""microsoft"",""virtual""]","2016-09-17T03:34:31Z","ActiveNick/DesertShooterVR",3,"sample firstpersonstyle game for virtual  mixed reality optimized for microsoft hololens","null","C#","[""C#"",""JavaScript"",""ShaderLab"",""HLSL""]",130884,"null"
"[""framework"",""hololens"",""microsoft"",""unity"",""vr""]","2016-08-10T22:14:56Z","ActiveNick/HoloBot",116,"holobot is a reusable d interface that allows hololens  vr users to interact with any bot using mixed reality  speech","[""hololens"",""unity"",""speech"",""bot"",""microsoft-bot-framework"",""microsoft-cognitive-services"",""microsoft-hololens"",""speech-recognition"",""luis""]","C#","[""C#"",""ShaderLab"",""GLSL""]",48098,"[""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""game"",""unity3d"",""game-development"",""gamedev"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""discord"",""discord-bot"",""slack"",""chatbot"",""parser"",""generator"",""template"",""parsing"",""nim"",""tutorial"",""learning"",""education"",""example"",""godot"",""python"",""ocr"",""pytorch"",""sketch"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot""]"
"[""hololens""]","2017-06-06T20:24:18Z","ActiveNick/HoloModelShowcase",4,"mixed reality demo project for hololens used to showcase a new product in d","null","C#","[""C#"",""ShaderLab"",""HLSL""]",59993,"null"
"[""android"",""arcore"",""arkit"",""hololens"",""ios"",""magicleap"",""sdk"",""unity"",""vuforia"",""wikitude""]","2019-05-27T09:57:50Z","AgrMayank/AR-With-Unity",11,"getting started with augmented reality using unity","[""augmented-reality"",""ar"",""unity"",""unity3d"",""sdk"",""list"",""vuforia"",""wikitude"",""kudan"",""8thwall"",""android"",""ios"",""hololens"",""mixed-reality"",""magicleap"",""arkit"",""arcore""]","null","null",64,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""java"",""minecraft"",""mod"",""tree"",""stack"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""kafka"",""spark"",""java"",""scala"",""big-data"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"[""android"",""ios"",""medical"",""unity"",""xr""]","2019-08-21T14:51:31Z","AgrMayank/AidXR",3,"saving lives through xr ","[""unity"",""unity3d"",""accenture-xr-hackathon"",""hackathon"",""hackathon-project"",""aidxr"",""medical"",""medicine"",""medicare"",""health"",""healthcare"",""emergency"",""emergency-medical-services"",""firstaid"",""android"",""ios"",""augmentedreality"",""ar"",""xr"",""augmented-reality""]","C#","[""C#"",""ShaderLab"",""Objective-C++""]",215264,"[""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""game-jam"",""game-off"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""security"",""hacking"",""security-tools"",""pentesting"",""penetration-testing"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""vue"",""vuejs"",""vuex"",""vuejs2"",""vue-router"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""visualization"",""graph"",""data-visualization"",""chart"",""charts"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""android"",""ios"",""sdk"",""unity"",""vuforia""]","2019-05-27T07:33:36Z","AgrMayank/Solar-System-AR",6,"our whole solar system in augmented reality","[""augmented-reality"",""vuforia"",""vuforia-sdk"",""unity"",""unity3d"",""android"",""ios"",""c-sharp"",""ar""]","C#","[""C#"",""ShaderLab"",""Objective-C++""]",36767,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""windows"",""powershell"",""xamarin"",""csharp"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""android"",""app"",""arcore"",""ios"",""unity""]","2019-09-10T18:17:33Z","AgrMayank/Tri-Netra",4,"an augmented reality based information system for trident academy of technology","[""unity"",""unity3d"",""app"",""gps"",""navigation"",""android"",""ios"",""ar"",""augmented-reality"",""augmentedreality"",""3d"",""3d-models"",""arfoundation"",""arcore"",""college"",""college-project"",""project""]","C#","[""C#"",""ShaderLab""]",196759,"[""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""flutter"",""dart"",""android"",""ios"",""flutter-apps"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""vim"",""theme"",""neovim"",""dark-theme"",""vim-plugin"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""opengl"",""graphics"",""webgl"",""vulkan"",""elixir"",""hacktoberfest"",""python"",""erlang"",""elm"",""kafka"",""spark"",""java"",""scala"",""big-data"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""minecraft"",""email"",""plugin"",""delphi"",""java"",""python"",""time-series"",""hacktoberfest"",""management"",""slides""]"
"[""ai"",""android"",""arcore"",""arkit"",""cloud"",""ios"",""ml"",""phone"",""sdk"",""unity""]","2019-08-05T16:01:32Z","AgrMayank/Watson-AI-in-ARFoundation",8,"implementation of ibm watson ai in augmented reality","[""watson-assistant"",""watson-speech"",""watson-text"",""unity"",""arcore"",""watson-sdk"",""arkit"",""unity-sdk"",""phone"",""android"",""ios"",""unity3d"",""ai"",""ml"",""text"",""speech"",""nlp"",""natural-language-processing"",""ibm-cloud"",""ibm-watson""]","C#","[""C#"",""Shell"",""HTML""]",75452,"[""python"",""python3"",""flask"",""asyncio"",""python-3"",""minecraft"",""email"",""plugin"",""delphi"",""java"",""game"",""unity3d"",""game-development"",""gamedev"",""kafka"",""spark"",""java"",""scala"",""big-data"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""validation"",""typescript"",""form"",""forms"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity"",""game-development"",""gamedev"",""deep-learning"",""machine-learning"",""neural-network"",""reinforcement-learning"",""artificial-intelligence"",""machine-learning"",""data-science"",""deep-learning"",""classification"",""machine-learning-algorithms"",""editor"",""ocaml"",""steam"",""reasonml"",""torrent"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""natural-language-processing"",""bert"",""sentiment-analysis"",""pytorch"",""nlp"",""bert"",""sentiment-analysis"",""pytorch"",""laravel"",""php"",""laravel-package"",""package"",""laravel-5-package"",""python"",""python3"",""flask"",""asyncio"",""python-3""]"
"[""virtual""]","2019-07-01T04:26:04Z","Ailln/EDITH",3,"even dead im the hero","[""edith"",""augmented-reality"",""virtual-reality""]","null","null",1,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""android"",""api"",""app"",""google"",""markers""]","2017-04-28T13:02:29Z","Aish05/Locational-AR",7,"the app will provide location information with ar augmented reality","[""augmented-reality"",""android-ar"",""google-maps-api"",""location-based-services"",""ar-markers""]","Java","[""Java""]",275,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap""]"
"[""app"",""opencv""]","2016-05-26T06:32:03Z","AlexOuyang/AtomAR",5,"augmented reality app for chemistry education using openggl and opencv","null","C++","[""Shell"",""Makefile"",""HTML"",""CSS"",""JavaScript"",""ApacheConf"",""C"",""C++"",""Objective-C"",""CMake"",""Java"",""GLSL"",""Objective-C++"",""C#""]",141814,"null"
"[""arkit""]","2019-04-04T15:17:12Z","AlexanderKub/arkit-ml-occlusion",10,"arkit proofofconcept project for handle occlusion in augmented reality using a machine learning","null","Swift","[""Ruby"",""Swift""]",497,"null"
"[""android"",""camera""]","2017-04-05T08:54:30Z","AlexandreLouisnard/augmented-reality-gps-points-android",9,"an android library that allows to show points with gps localization on the device camera preview","null","Java","[""Java""]",530,"null"
"[""opencv"",""opencv-python"",""python""]","2019-02-22T08:23:53Z","AliShazly/sudoku-py",87,"an augmented reality sudoku solver using opencv","[""opencv-python"",""opencv"",""machine-learning""]","Python","[""Python""]",123523,"[""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""data-science"",""deep-learning"",""classification"",""machine-learning-algorithms""]"
"[""hololens"",""microsoft"",""unity""]","2020-01-21T17:34:08Z","AlignSurgical/AugmentedRealityBiopsy",8,"augmented reality guided biopsy for microsoft hololens ","[""unity"",""csharp"",""hololens"",""health"",""surgery"",""augmented-reality""]","C#","[""C#"",""ShaderLab"",""GLSL"",""HLSL"",""HTML"",""PowerShell"",""Python"",""JavaScript"",""CSS""]",159604,"[""game"",""unity3d"",""game-development"",""gamedev"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""framework"",""html"",""python"",""web""]","2020-04-02T14:52:44Z","Alpaca-AR/Alpaca-AR",4,"alpaca is a framework to simplify the creation of augmented reality extensions for web applications without modifying the original web applications","[""alpaca-ar"",""augmented-reality"",""ar"",""web"",""html5"",""python""]","JavaScript","[""Dockerfile"",""Python"",""HTML"",""JavaScript""]",3441,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""javascript"",""framework"",""frontend"",""webapp"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""language"",""ruby"",""django"",""python3"",""django-rest-framework"",""flask""]"
"[""game"",""sdk""]","2019-08-19T16:04:54Z","AltspaceVR/mre-chess",3,"chess game written using the mixed reality extension sdk","null","TypeScript","[""TypeScript"",""Dockerfile"",""HTML"",""JavaScript""]",14312,"null"
"[""game"",""unity"",""vuforia""]","2017-12-27T09:33:56Z","AmalJossy/ARTreasureHunt",8,"an augmented reality treasure hunt game build using unity and vuforia","null","C#","[""C#"",""ShaderLab"",""Java"",""JavaScript""]",102626,"null"
"[]","2016-06-06T09:18:39Z","AngusKung/Efficient_Surface_Detection",8,"this is the implementational source code of the paper efficient surface detection for augmented reality on d point clouds","null","C++","[""CMake"",""C++""]",80,"null"
"[""android"",""game"",""unity"",""unity-android""]","2018-02-09T18:07:15Z","AnimaRain/ShootAR",10,"an ar shooter game for android","[""ar"",""game"",""ar-game"",""android-ar"",""android-game"",""android"",""android-augmented-reality"",""augmented-reality"",""augmentedreality"",""unity3d-games"",""unity"",""unity-game"",""unity-android"",""unity3d-game"",""csharp"",""csharp-game"",""unity3d"",""shooter"",""shooter-game"",""survival-shooter-game""]","C#","[""C#""]",49277,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""unity"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""react-native"",""ios"",""react"",""mobile"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""game"",""unity3d"",""game-development"",""gamedev"",""python"",""time-series"",""hacktoberfest"",""management"",""slides"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""game"",""unity"",""game-development"",""gamedev"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""aws"",""serverless"",""aws-lambda"",""lambda"",""terraform""]"
"[""realsense"",""virtual"",""vr""]","2018-08-11T17:00:32Z","Anna-Henson/Wake_CMU_Thesis",4,"anna hensons cmu masters thesis","[""copresence"",""mixed-reality"",""virtual-reality"",""social-vr"",""realsense""]","C#","[""C#"",""ShaderLab"",""HLSL"",""GLSL"",""Smalltalk"",""C++"",""CMake""]",395959,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""golang"",""go"",""golang-library"",""gin"",""golang-package""]"
"[""ai"",""api"",""app"",""django"",""python"",""web""]","2019-10-25T05:43:30Z","AnubhavMadhav/J.A.R.V.I.S",24,"just a rather very intelligent system this is a group summer design project for our semester  this is an augmented reailty and ai powered web app team members kushang shah pallavi sharma nitesh pachlashiya and anubhav madhav","[""api"",""assistant"",""jarvis"",""jarvis-ai"",""avengers"",""marvel"",""mcu"",""augmented-reality"",""artificial-intelligence"",""python"",""javascript"",""django""]","JavaScript","[""Python"",""CSS"",""HTML"",""JavaScript""]",52444,"[""sdk"",""facebook"",""wrapper"",""google"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi"",""hacktoberfest"",""open-source"",""opensource"",""community"",""free"",""json"",""xml"",""yaml"",""csv"",""serialization"",""arduino"",""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""machine-learning"",""deep-learning"",""reinforcement-learning"",""ai"",""language"",""ruby"",""django"",""python3"",""django-rest-framework"",""flask"",""nodejs"",""typescript"",""emacs"",""deno"",""python"",""python3"",""django-rest-framework"",""flask""]"
"[""arkit"",""firebase"",""ios"",""mlkit"",""swift"",""virtual""]","2019-06-19T01:37:37Z","ApolloZhu/AR-Lipstick",42,"arkitfirebasemlvision based virtual lipstick try it","[""arkit"",""lipstick"",""face-detection"",""youtube"",""vision"",""ios"",""swift"",""makeup"",""augmented-reality"",""firebase"",""mlkit"",""hacktoberfest""]","Swift","[""Swift"",""Ruby"",""HTML""]",5205,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""downloader"",""python"",""anime"",""download"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""visualization"",""graph"",""data-visualization"",""chart"",""charts"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""elixir"",""python"",""erlang"",""elm""]"
"[""app"",""arkit"",""ios""]","2018-10-22T18:37:40Z","Apress/beginning-ARKit-iPhone-iPad",14,"source code for beginning arkit for iphone and ipad augmented reality app development for ios by wallace wang","null","Swift","[""Swift""]",13331,"null"
"[""game"",""ios"",""unity""]","2018-10-22T16:13:47Z","Apress/beginning-iOS-AR-game-development",3,"source code for beginning ios ar game development developing augmented reality apps with unity and c by allan fowler","null","C#","[""C#""]",28,"null"
"[""hololens"",""microsoft""]","2016-11-10T21:56:42Z","Apress/develop-msft-hololens-apps-now",4,"source code for develop microsoft hololens apps now by allen g taylor","null","C#","[""C#""]",20,"null"
"[""android""]","2016-10-16T16:39:28Z","Apress/pro-android-augmented-reality",20,"source code for pro android augmented reality by raghav  sood","null","Java","[""Java"",""HTML""]",3301,"null"
"[""hololens"",""virtual""]","2017-10-29T06:51:03Z","ArconaEcosystem/arcona-system",5,"a blockchain powered ecosystem merging together real and virtual worlds worldwide creating augmented reality layer the digital land more info httpstmearconaico the arcona ecosystem creates a digital land  a layer of augmented reality uniting the physical and virtual worlds into a single information environment perfectly linked to our real world it is designed for everyday user interactive experience with augmented reality content in real world locations and change the surrounding real space on fly through the smartphone tablet or with the use of headsets like hololens or similar in this digital land anyone will be able to rent a land plot and start doing business within the ar platform everything will be controlled remotely so you will be able to do your business worldwide without leaving your office what is arcona token token holders will bid on and own digital lots and receive rent payments when their lot is used by other ar programs on the platform the digital land is the main asset of arcona you can buy sell rent or lease the land and the d content using erc token called arcona smart contract on blockhain guarantees protection of copyright and property rights the system automates royalty payments to content creators and rents to digital asset owners","null","null","null",24,"null"
"[""virtual"",""vuforia""]","2018-07-09T16:20:54Z","Arjav-Patel/Vuforia-Integration-with-Meta-2",13,"a guide on using vuforia with the meta  headset","[""virtual-reality"",""augmented-reality"",""vuforia"",""meta2""]","C#","[""C#""]",25,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember""]"
"[""android"",""api"",""app""]","2017-10-05T16:38:11Z","Arpit007/Satori",3,"the augmented reality app for hackathon","[""android"",""augmented-reality"",""vision-api"",""filters"",""chat"",""social"",""socket-io""]","Java","[""Java""]",1154,"[""react-native"",""ios"",""react"",""mobile"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""pytorch"",""deep-learning"",""computer-vision"",""gan"",""generative-adversarial-network"",""image"",""svg"",""image-processing"",""icons"",""font"",""websocket"",""webrtc"",""websockets"",""p2p"",""api"",""sdk"",""facebook"",""wrapper"",""google"",""nodejs"",""websocket"",""chat"",""webrtc"",""websockets"",""p2p""]"
