"createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"2018-09-26T21:44:28Z","4A-Dilla/BorGo",2,"Augmented reality mini-games that users can play with using their Dublin Bus leap card","null","C#","[""C#"",""ShaderLab"",""Smalltalk""]",60361,"null"
"2020-05-22T06:50:31Z","4Tsuki4/Movie-AR",1,"Movies in Augmented reality, made with ARKit. Shows trailer, images, and star rating.","[""arkit"",""swift"",""image-tracking""]","Swift","[""Swift""]",29823,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode""]"
"2017-03-16T18:54:17Z","4refr0nt/ARplus",6,"Augmented Reality Demo mobile app","[""ionic"",""ionic-framework"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""esp8266""]","JavaScript","[""Batchfile"",""Arduino"",""JavaScript"",""Java"",""Objective-C"",""C"",""QML"",""C++"",""C#"",""HTML"",""CSS"",""Objective-C++""]",30680,"[""angular"",""typescript"",""angularjs"",""angular2"",""angular"",""typescript"",""angularjs"",""angular2"",""ionic"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""api"",""http"",""rest-api"",""rest"",""swagger"",""arduino"",""raspberry-pi"",""esp32"",""bluetooth""]"
"2018-05-02T07:38:52Z","4rvnd/Augmented-drone",1,"Augmented reality with a drone robot","null","HTML","[""HTML""]",17505,"null"
"2016-08-28T14:46:28Z","54chi/creforge_AR",1,"Augmented Reality with Unity and Kudan for Creforge challenge","null","C#","[""C#"",""GLSL""]",96091,"null"
"2018-11-12T22:37:47Z","5un/MagicLeap-EyesForTheBlind",4,"Use Magic Leap's spatial computing abilities to help the visually impaired navigate around unfamiliar environments","null","C#","[""C#"",""ShaderLab""]",460156,"null"
"2018-09-15T03:58:31Z","77Siddharth/storyteller",1,"Story Teller Augmented Reality","null","null","null",103151,"null"
"2020-12-18T15:21:55Z","7ananSaif/Graduation-project",1,"AVAR - Our graduation project, it stands for Architecture visualization using augmented reality.  ","null","null","null",1721,"null"
"2019-02-22T15:47:32Z","ABHINAV112/SkyWriting",4,":roller_coaster: program to write text in the air with finger and then save it in a text file","[""python3"",""opencv-python"",""ocr-recognition"",""flask"",""augmented-reality""]","Python","[""Python"",""CSS"",""JavaScript"",""HTML""]",41147,"[""python"",""crawler"",""scraper"",""spider"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""python"",""python3"",""asyncio"",""python-3"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"2020-12-31T21:41:06Z","AIIAL/Magic-Leap-ALL-Detection-System",2,"Combines Magic Leap's Spatial Computing technologies with a Deep Learning Classifier to provide real-time classification of Acute Lymphoblastic Leukemia in peripheral blood samples within a Mixed Reality environment. ","[""magic-leap"",""spatial-computing"",""mixed-reality"",""acute-lymphoblastic-leukemia"",""peripheral-blood-samples"",""raspberry-pi-4"",""artificial-intelligence"",""deep-learning"",""deep-neural-networks"",""unity-3d"",""hias""]","C#","[""C#""]",7965,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""arduino"",""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""machine-learning"",""deep-learning"",""reinforcement-learning"",""ai"",""tensorflow"",""keras"",""machine-learning"",""convolutional-neural-networks"",""deep-learning"",""tensorflow"",""keras"",""machine-learning"",""convolutional-neural-networks"",""game"",""unity"",""unity3d"",""game-development"",""gamedev""]"
"2019-03-20T11:33:58Z","ALAMSHAHBAZ/ARBrowser",1,"Voice Operated Augmented Reality based Web Browser where we can interact and search using voice and the results appear in extended reality, just the way many superhero movies like Ironman have shown.","[""csharp"",""node-js"",""unity3d"",""android-studio"",""java"",""arcore-unity""]","C#","[""C#""]",64,"[""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""nodejs"",""mongodb"",""express"",""node"",""expressjs"",""game"",""unity"",""game-development"",""gamedev"",""lua"",""java"",""plugin"",""intellij"",""ide"",""android"",""gradle"",""kotlin"",""javafx""]"
"2019-02-12T15:13:20Z","ALAMSHAHBAZ/Augmented-Reality",1,"A cool AR project built on Unity3D  using Vuforia SDK and C# which recognizes a target image and plays a related video on top of it.","[""csharp""]","C#","[""C#""]",22791,"[""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core""]"
"2020-07-14T02:15:21Z","AMLResearchProject/Magic-Leap-1-ALL-Detection-System-2020",2,"Acute Lymphoblastic Leukemia Detection System 2020 uses Tensorflow 2 & Magic Leap to provide a mixed reality detection system. Project by Adam Milton-Barker.","null","C#","[""C#""]",6979,"null"
"2020-08-03T10:21:06Z","ANDESH97/Project_Atharva",1,"Project Atharva aims at solving day to day navigation problem of the blind user. It leverages Augmented Reality to precisely position the virtual markers on the ground and on contact speaks out the direction in which the user should move.","[""unity3d"",""augmented-reality-applications"",""ios"",""android""]","null","null",1,"[""game"",""unity"",""game-development"",""gamedev"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""swift"",""objective-c"",""cocoapods"",""xcode"",""react-native"",""ios"",""react"",""mobile""]"
"2020-03-07T01:19:31Z","AR-DUO/IR-AR",2,"AR을 이용한 이화여고 탐방앱","[""unity"",""unity3d"",""augmented-reality"",""android-application"",""android"",""android-app"",""augmentedreality"",""augmented-reality-application"",""highschool-project""]","C#","[""Objective-C"",""C#"",""HLSL"",""ShaderLab"",""Smalltalk""]",40072,"[""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""android"",""android-library"",""kotlin"",""material-design"",""react-native"",""ios"",""react"",""mobile"",""flutter"",""dart"",""android"",""ios"",""flutter-apps"",""api"",""http"",""rest-api"",""rest"",""swagger""]"
"2020-02-28T09:03:36Z","AR-js-org/AR.js",2445,"Image tracking, Location Based AR, Marker tracking. All on the Web.","[""augmented-reality"",""webar"",""ar"",""aframe"",""threejs"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""Makefile"",""HTML"",""JavaScript"",""CSS"",""Brainfuck"",""C"",""Forth"",""GAP""]",176175,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"2019-12-23T10:54:36Z","AR-js-org/studio",151,"An authoring platform to build Web Augmented Reality experiences, without coding knowledge","[""ar"",""augmented-reality"",""aframe"",""threejs"",""authoring"",""webar"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""HTML"",""CSS"",""JavaScript""]",112802,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""golang"",""go"",""golang-library"",""gin"",""golang-package"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"2019-12-23T10:59:33Z","AR-js-org/studio-backend",33,"Backend of AR.js studio project. ","[""ar"",""augmented-reality"",""ar-studio"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""JavaScript"",""Shell"",""Handlebars""]",3442,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"2020-06-24T20:32:12Z","ARC-AR/ARC",2,"ARC's augmented reality filters for Facebook and Instagram, made for the Facebook Hackathon: AR 2020. Deborah/Dries/Jonathan.","[""spark"",""ar"",""augmented"",""reality"",""facebook"",""instagram"",""filter"",""hackathon"",""devpost"",""arc""]","JavaScript","[""JavaScript""]",4807,"[""hadoop"",""scala"",""kafka"",""java"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""api"",""sdk"",""wrapper"",""google"",""api"",""sdk"",""facebook"",""wrapper"",""google"",""java"",""framework"",""library"",""dependency-injection"",""design-patterns"",""game-jam"",""game-off"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""python"",""telegram"",""bot"",""telegram-bot"",""rss""]"
"2019-04-28T14:25:22Z","ARKnowledgeForest/ARKnowledgeForest",1,"KNOWLEDGE FOREST by Augmented Reality","null","C#","[""C#"",""Objective-C++"",""HTML"",""ShaderLab""]",6873,"null"
"2017-12-01T01:59:59Z","ARKrew/workingArgo",6,"Argo | Mobile AR Game for iOS","[""augmented-reality"",""viro"",""react-native"",""redux"",""react-navigation"",""firebase"",""firebase-database"",""firebase-auth"",""firebase-functions"",""facebook-login""]","Objective-C","[""JavaScript"",""Python"",""Java"",""Objective-C"",""Ruby"",""Shell"",""C""]",159244,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""reactjs"",""android"",""ios"",""react"",""mobile"",""javascript"",""react"",""reactjs"",""hooks"",""react-hooks"",""typescript"",""react-native"",""android"",""ios"",""react"",""mobile"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""api"",""sdk"",""facebook"",""wrapper"",""google""]"
"2018-10-02T00:11:21Z","ARPOISE/ARpoise",11,"ARpoise - Augmented Reality point of interest service environment","null","C#","[""C#"",""C"",""Makefile"",""PHP"",""HTML"",""JavaScript"",""CSS"",""ShaderLab"",""Objective-C++"",""Objective-C"",""HLSL""]",126507,"null"
"2017-08-16T19:20:13Z","ARUnityBook/ARBook-ARKit",8,"Projects from the book ""Augmented Reality for Developers"" - ARKit implementations","null","C#","[""C#"",""ShaderLab"",""Objective-C++""]",27081,"null"
"2017-11-10T19:20:02Z","ARUnityBook/ARBook-ARUnity",12,"Projects from the book ""Augmented Reality for Developers"" - Unity ARInterface version","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Objective-C++""]",97152,"null"
"2017-08-14T20:38:07Z","ARUnityBook/ARBook-Vuforia",18,"Projects from the book ""Augmented Reality for Developers"" - Vuforia implementations","null","C#","[""C#"",""ShaderLab"",""JavaScript""]",110284,"null"
"2018-02-27T06:16:34Z","ARX-SKE12/ARCoreToolkit-Unity",4,"Toolkit for ARCore in Unity Platform based on Example of ARCore","[""arcore"",""arcore-unity"",""ar"",""augmented"",""augmented-reality"",""tool"",""toolkit""]","C#","[""GLSL"",""C#"",""ShaderLab""]",4999,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""cli"",""developer-tools"",""tools"",""notifications"",""cli"",""developer-tools"",""tool"",""tools"",""notifications""]"
"2018-01-09T14:18:08Z","ARX-SKE12/ARTag",2,"Augmented Reality Tag application for your daily life","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Smalltalk"",""HTML""]",413047,"null"
"2020-09-15T14:29:27Z","ARgorithm/toolkit",6,"Visualize your data structures in augmented reality","[""ar-representation"",""pypip""]","Python","[""Makefile"",""Python"",""Dockerfile""]",2501,"null"
"2017-11-23T15:09:21Z","ARjs-org/location-based-ar",17,"Experimentation about location-based Augmented Reality","null","HTML","[""JavaScript"",""HTML""]",206,"null"
"2020-02-25T20:01:43Z","ARt-Augmented-Reality/ARt-Augmented-Reality.github.io",1,"ARt: An augmented reality app for art buyers","null","CSS","[""HTML"",""CSS"",""JavaScript"",""SCSS""]",13031,"null"
"2017-06-15T19:17:10Z","ARtSSt/OpenCV_Hololens_Unity_PardipChagar",2,"This is a build for OpenCV with Unity 5.6.1, our version is specific to Hololens Development. ","[""hololens"",""opencv3"",""uwp"",""unity3d"",""augmented-reality""]","C++","[""C#"",""ShaderLab"",""HLSL"",""C++"",""Objective-C"",""C""]",30498,"[""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""graphql"",""github"",""git"",""apollo"",""github-api"",""windows"",""powershell"",""xamarin"",""csharp"",""c-sharp"",""game"",""unity"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"2017-02-06T16:29:35Z","ASPePeX/AR-Marker-Generator",21,"A processing sketch that generates markers for Augmented Reality applications like Vuforia.","[""processing"",""augmented-reality"",""ar-markers"",""vuforia"",""java""]","Processing","[""Processing""]",165,"[""wechat"",""python"",""weather"",""recommender-system"",""weixin"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""android"",""gradle"",""kotlin"",""javafx""]"
"2019-07-15T10:43:28Z","ASchwad/GTC",1,"iOS Augmented Reality Game (University of Munich Assignment)","null","Swift","[""Swift"",""Ruby""]",71611,"null"
"2020-09-04T17:14:15Z","AWAlexWeber/space-y-back",1,"Back-end component for Space-Y augmented reality game.","null","Python","[""Python""]",39,"null"
"2020-09-04T17:11:40Z","AWAlexWeber/space-y-front",1,"Front-end component for Space-Y augmented reality game.","null","JavaScript","[""HTML"",""JavaScript"",""CSS""]",448,"null"
"2018-06-06T16:05:50Z","Aadjou/3d-ui-resources",1,"Great resources for crafting 3D UI / UX Design for mixed reality","null","null","null",31,"null"
"2020-07-19T06:00:57Z","Aashrit-Garg/CarpetStory-Android",1,"Augmented Reality App to Showcase Carpets","null","Java","[""Java"",""Assembly"",""Kotlin""]",59620,"null"
"2019-01-09T18:48:04Z","Aayush005/ARravel",3,"AN AR+VR travel app that converts 2 image intoa 3D model of mixed reality (AR+VR)","null","Java","[""Java""]",5629,"null"
"2019-08-27T14:00:39Z","Abagnale92/BattleTankAR",2,"Mobile game in Augmented-Reality with Unity & Vuforia","null","C#","[""C#"",""ShaderLab"",""Objective-C++"",""HLSL"",""Smalltalk"",""ASP""]",444691,"null"
"2018-03-16T22:44:47Z","Abhey/Vision",5,"Vision is your Augmented Reality (AR) assistant which encompasses multiple features and provides a hassle-free User Interface","[""augmented-reality"",""assistant""]","C#","[""C#"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""ShaderLab"",""HTML"",""Shell"",""Python"",""HLSL""]",237514,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi""]"
"2020-02-14T21:13:43Z","AbhijitVinayak/AR-T",1,"Augmented Reality projections of layers imported from Adobe illustrator on the printed poster. Using Unity and Vuforia","null","null","null",3804,"null"
"2019-03-19T15:54:05Z","AccionaMixedReality/acciona.mlutils",3,"Some powerfull extra tools for Magic Leap development with Unity, made by the Advanced and Digital Innovation Hub from Acciona S.A.","null","C#","[""C#""]",1633,"null"
"2017-06-10T23:04:52Z","AcroMace/DreamBig",23,"☁🌝☁ 3D emoji drawing iPad app with ARKit and the Apple Pencil ☁🌝☁","[""arkit"",""augmented-reality"",""ios"",""swift"",""ipad"",""emoji"",""emojis"",""drawing"",""ios11""]","Swift","[""Swift"",""Shell""]",804,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""macos"",""swiftui"",""objective-c"",""documentation"",""translation"",""i18n"",""localization"",""documentation"",""translation"",""i18n"",""localization"",""emoji"",""image"",""svg"",""image-processing"",""icons"",""font"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"2018-01-16T20:40:47Z","ActiveNick/AzureStorageDemoUnity3D",5,"Sample Unity project used to demonstrate the use of Azure Storage services in games and Mixed Reality projects.","null","C#","[""C#"",""ShaderLab""]",198722,"null"
"2016-09-17T03:34:31Z","ActiveNick/DesertShooterVR",3,"Sample first-person-style game for virtual & mixed reality, optimized for Microsoft HoloLens","null","C#","[""C#"",""JavaScript"",""ShaderLab"",""HLSL""]",130884,"null"
"2016-08-10T22:14:56Z","ActiveNick/HoloBot",116,"HoloBot is a reusable 3D interface that allows HoloLens & VR users to interact with any bot using Mixed Reality & Speech.","[""hololens"",""unity"",""speech"",""bot"",""microsoft-bot-framework"",""microsoft-cognitive-services"",""microsoft-hololens"",""speech-recognition"",""luis""]","C#","[""C#"",""ShaderLab"",""GLSL""]",48098,"[""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""game"",""unity3d"",""game-development"",""gamedev"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""discord"",""discord-bot"",""slack"",""chatbot"",""parser"",""generator"",""template"",""parsing"",""nim"",""tutorial"",""learning"",""education"",""example"",""godot"",""python"",""ocr"",""pytorch"",""sketch"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot""]"
"2017-06-05T01:16:34Z","ActiveNick/HoloDemo",2,"Technical demo used for HoloLens & Mixed Reality developer training","null","C#","[""C#"",""ShaderLab"",""HLSL"",""GLSL""]",1658,"null"
"2016-11-04T00:22:04Z","ActiveNick/HoloExplorer-Mars",2,"Mars exploration simulation for Windows Mixed Reality and HoloLens. Work in progress, stay tuned.","null","C#","[""C#"",""ShaderLab"",""HLSL""]",55087,"null"
"2017-06-06T20:24:18Z","ActiveNick/HoloModelShowcase",4,"Mixed Reality demo project for HoloLens used to showcase a new product in 3D.","null","C#","[""C#"",""ShaderLab"",""HLSL""]",59993,"null"
"2017-05-11T16:30:14Z","ActiveNick/HoloToolkitTankDemo",1,"Technical demo that showcases how to easily build holographic experiences for Windows Mixed Reality & HoloLens using the Open Source HoloToolkit for Unity","null","C#","[""C#"",""ShaderLab"",""HLSL""]",2775,"null"
"2017-10-26T20:48:14Z","ActiveNick/ImmersiveMRTest",2,"Testing playground for Immersive Mixed reality experiences using MRTK","null","C#","[""C#"",""HLSL"",""ShaderLab"",""FLUX""]",81749,"null"
"2018-01-11T06:18:12Z","ActiveNick/SpaceBallsVR",1,"Sample VR game for Windows Mixed Reality immersive headsets where you shoot asteroids at planets.","null","C#","[""C#"",""HLSL"",""ShaderLab""]",133371,"null"
"2017-11-30T19:15:55Z","ActiveNick/UnityStudy-360VideoSkybox",1,"Windows Mixed Reality demo project for immersive VR headsets used to showcase 360 degrees video as the Skybox background","null","C#","[""C#"",""ShaderLab"",""FLUX"",""HLSL""]",60389,"null"
"2018-03-20T21:34:25Z","AdamGoodApp/Magic-Leap-Demo",1,"Basic Magic Leap Demo.","[""magic-leap"",""unity"",""ml"",""augmented-reality""]","HLSL","[""Mask"",""C#"",""HLSL"",""ShaderLab""]",90023,"[""game"",""unity3d"",""game-development"",""gamedev"",""machine-learning"",""data-science"",""deep-learning"",""classification"",""machine-learning-algorithms"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"2018-01-20T07:24:43Z","AdamMoffitt/Pensieve-AR",1,"Augmented Reality App where users can upload Photo / Video Memories, tag it to a location, and other users that visit the location can see those memories in AR!","null","Swift","[""Swift"",""Ruby"",""JavaScript"",""Objective-C""]",71981,"null"
"2019-07-02T16:54:42Z","Adetiya21/TA_TSApps",2,"Tugas Akhir D3 POLNEP Augmented Reality","null","C#","[""C#"",""ShaderLab""]",431163,"null"
"2019-02-18T13:11:30Z","Adishar93/AR_AssemblyVisualizer_Base",1,"Android UI and data access implementation of the Augmented Reality Android Application, developed for Smart India Hackathon 2019.","null","Java","[""Java""]",17242,"null"
"2020-12-23T07:25:51Z","Adit-jain/S.E.A.R",2,"Smart Education with Augmented Reality","null","null","null",2,"null"
"2020-04-27T17:00:48Z","Aditya-Salian/Reports3D",2,"A web application which detects brain tumours and projects the model of the brain in AR.","[""brain-tumours"",""immersive-visualization"",""augmented-reality"",""brain-tumor-segmentation"",""medical-imaging"",""blender-python""]","HTML","[""Python"",""CSS"",""JavaScript"",""HTML""]",15863,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot"",""pytorch"",""deep-learning"",""computer-vision"",""gan"",""generative-adversarial-network"",""microservices"",""microservice"",""grpc"",""rpc"",""rabbitmq""]"
"2020-07-30T20:02:25Z","AfsalMuhammed/AR-summary",1,"An augmented reality text summarization tool","null","Python","[""Python""]",24,"null"
