"Tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""hololens""]","2016-09-17T03:34:31Z","ActiveNick/DesertShooterVR",3,"Sample first-person-style game for virtual & mixed reality, optimized for Microsoft HoloLens","null","C#","null",130884,"null"
"[""cognitive"",""hololens"",""robotics"",""unity"",""vr""]","2016-08-10T22:14:56Z","ActiveNick/HoloBot",116,"cognitive HoloBot is a reusable 3D interface that allows HoloLens & VR users to interact with any robotics using Mixed Reality & Speech.","null","C#","null",48098,"null"
"[""hololens""]","2017-06-06T20:24:18Z","ActiveNick/HoloModelShowcase",4,"Mixed Reality demo project for HoloLens used to showcase a new product in 3D.","null","C#","null",59993,"null"
"[""android"",""arcore"",""arkit"",""hololens"",""ios"",""kudan"",""magicleap"",""mixed-reality"",""unity"",""unity3d"",""vuforia"",""wikitude""]","2019-05-27T09:57:50Z","AgrMayank/AR-With-Unity",11,"Getting started with Augmented Reality using Unity","null","null","null",64,"null"
"[""android"",""ios"",""medical"",""unity"",""unity3d"",""xrtk""]","2019-08-21T14:51:31Z","AgrMayank/AidXR",3,"xrtk Saving lives through XR!! ","null","C#","null",215264,"null"
"[""android"",""ios"",""unity"",""unity3d"",""vuforia""]","2019-05-27T07:33:36Z","AgrMayank/Solar-System-AR",6,"Our whole Solar System in Augmented Reality!","null","C#","null",36767,"null"
"[""android"",""app"",""arcore"",""ios"",""unity"",""unity3d""]","2019-09-10T18:17:33Z","AgrMayank/Tri-Netra",4,"An Augmented Reality based information system for Trident Academy of Technology","null","C#","null",196759,"null"
"[""ai"",""android"",""arcore"",""arkit"",""cloud"",""ios"",""ml"",""phone"",""unity"",""unity3d""]","2019-08-05T16:01:32Z","AgrMayank/Watson-AI-in-ARFoundation",8,"cloud Implementation of IBM Watson AI in Augmented Reality!","null","C#","null",75452,"null"
"[]","2019-07-01T04:26:04Z","Ailln/EDITH",3,"🕷️Even Dead, I’m The Hero.","null","null","null",1,"null"
"[""android"",""app"",""marker""]","2017-04-28T13:02:29Z","Aish05/Locational-AR",7,"The app will provide location information with AR (Augmented Reality)","null","Java","null",275,"null"
"[""app"",""opencv""]","2016-05-26T06:32:03Z","AlexOuyang/AtomAR",5,"Augmented reality app for chemistry education using OpengGL and OpenCV .","null","C++","null",141814,"null"
"[""arkit"",""ml""]","2019-04-04T15:17:12Z","AlexanderKub/arkit-ml-occlusion",10,"ml ARKit proof-of-concept project for handle occlusion in augmented reality using a ml learning","null","Swift","null",497,"null"
"[""android""]","2017-04-05T08:54:30Z","AlexandreLouisnard/augmented-reality-gps-points-android",9,"An Android library that allows to show points with GPS localization on the device camera preview.","null","Java","null",530,"null"
"[""ml"",""opencv""]","2019-02-22T08:23:53Z","AliShazly/sudoku-py",87,"An augmented reality sudoku solver using OpenCV","null","Python","null",123523,"null"
"[""hololens"",""medical"",""unity""]","2020-01-21T17:34:08Z","AlignSurgical/AugmentedRealityBiopsy",8,"Augmented Reality Guided Biopsy for Microsoft HoloLens 2","null","C#","null",159604,"null"
"[""web""]","2020-04-02T14:52:44Z","Alpaca-AR/Alpaca-AR",4,"Alpaca is a framework to simplify the creation of Augmented Reality extensions for web applications, without modifying the original web applications","null","JavaScript","null",3441,"null"
"[""altspacevr""]","2019-08-19T16:04:54Z","AltspaceVR/mre-chess",3,"altspacevr Chess game written using the Mixed Reality Extension SDK","null","TypeScript","null",14312,"null"
"[""unity"",""vuforia""]","2017-12-27T09:33:56Z","AmalJossy/ARTreasureHunt",8,"An Augmented Reality Treasure Hunt game Build using Unity and Vuforia","null","C#","null",102626,"null"
"[]","2016-06-06T09:18:39Z","AngusKung/Efficient_Surface_Detection",8,"This is the implementational source code of the paper ""Efficient Surface Detection for Augmented Reality on 3D Point Clouds""","null","C++","null",80,"null"
"[""android"",""unity"",""unity3d""]","2018-02-09T18:07:15Z","AnimaRain/ShootAR",10,"An AR shooter game for Android","null","C#","null",49277,"null"
"[""mixed-reality"",""realsense"",""vr""]","2018-08-11T17:00:32Z","Anna-Henson/Wake_CMU_Thesis",4,"Anna Henson's CMU Master's Thesis","null","C#","null",395959,"null"
"[""ai"",""api"",""django"",""web""]","2019-10-25T05:43:30Z","AnubhavMadhav/J.A.R.V.I.S",24,"ai Just A Rather Very Intelligent System. This is a group Summer Design Project for our Semester 5. This is an Augmented Reailty and AI Powered Web App. Team Members: Kushang Shah, Pallavi Sharma, Nitesh Pachlashiya and Anubhav Madhav.","null","JavaScript","null",52444,"null"
"[""arkit"",""firebase"",""ios"",""ml"",""swift""]","2019-06-19T01:37:37Z","ApolloZhu/AR-Lipstick",42,"ARKit/FirebaseMLVision based virtual lipstick. TRY IT:","null","Swift","null",5205,"null"
"[""app"",""arkit"",""ios"",""ipados""]","2018-10-22T18:37:40Z","Apress/beginning-ARKit-iPhone-iPad",14,"ios ipados Source Code for 'Beginning ARKit for iPhone and ipados : Augmented Reality App Development for iOS' by Wallace Wang","null","Swift","null",13331,"null"
"[""ios"",""unity""]","2018-10-22T16:13:47Z","Apress/beginning-iOS-AR-game-development",3,"Source Code for 'Beginning iOS AR Game Development: Developing Augmented Reality Apps with Unity and C#' by Allan Fowler","null","C#","null",28,"null"
"[""hololens""]","2016-11-10T21:56:42Z","Apress/develop-msft-hololens-apps-now",4,"Source code for 'Develop Microsoft Hololens Apps Now' by Allen G. Taylor","null","C#","null",20,"null"
"[""android""]","2016-10-16T16:39:28Z","Apress/pro-android-augmented-reality",20,"android Source code for 'Pro Android Augmented Reality' by Raghav  Sood","null","Java","null",3301,"null"
"[""hololens""]","2017-10-29T06:51:03Z","ArconaEcosystem/arcona-system",5,"A Blockchain Powered Ecosystem merging together real and virtual worlds worldwide creating augmented reality layer The Digital Land More Info: https://t.me/arcona_ico The Arcona Ecosystem creates a Digital Land - a layer of Augmented Reality uniting the physical and virtual worlds into a single information environment perfectly linked to our real world. It is designed for everyday user interactive experience with augmented reality content in real world locations and change the surrounding real space on fly through the smartphone, tablet or with the use of headsets like HoloLens or similar In this Digital Land, anyone will be able to rent a land plot and start doing business within the AR platform. Everything will be controlled remotely, so you will be able to do your business worldwide without leaving your office What Is arcona token Token holders will bid on and own digital lots and receive rent payments when their lot is used by other AR programs on the platform. The Digital Land is the main asset of Arcona. You can Buy, Sell, Rent or Lease the Land and the 3D content using ERC20 token called arcona. Smart contract on blockсhain, guarantees protection of copyright and property rights. The system automates royalty payments to content creators, and rents to digital asset owners.","null","null","null",24,"null"
"[""meta2"",""vuforia""]","2018-07-09T16:20:54Z","Arjav-Patel/Vuforia-Integration-with-Meta-2",13,"A guide on using Vuforia with the Meta 2 headset","null","C#","null",25,"null"
"[""android"",""app""]","2017-10-05T16:38:11Z","Arpit007/Satori",3,"The Augmented Reality App for Hackathon","null","Java","null",1154,"null"
"[""opencv""]","2018-11-15T18:48:23Z","AugustinJose1221/Virtual-Ping-Pong",6,"A complete project on a virtual ping pong programme using opencv and python.Image processing,virtual and augmented reality, gaming and some simple algorithm.","null","Python","null",23,"null"
"[""app"",""phone"",""unity"",""unity3d""]","2019-06-02T20:42:47Z","Austin47/ProjectPhotoAR_UnityClient",7,"Starter project for a Unity AR/Picture app","null","C#","null",6174,"null"
"[""hololens"",""mixed-reality"",""windows"",""windows-phone""]","2016-01-22T08:30:20Z","AzureKitsune/Crystal",12,"My secret sauce: A windows Application development framework. Batteries required!","null","C#","null",601,"null"
"[""react-native"",""viromedia""]","2018-11-19T20:48:27Z","BLKKKBVSIK/AR_DOA",4,"AR application made with React-Native and DOA based system.","null","JavaScript","null",21747,"null"
"[""android"",""banuba-sdk""]","2020-01-28T15:51:44Z","Banuba/quickstart-android",12,"Quick start examples for Banuba Face AR SDK on Android","null","GLSL","null",40174,"null"
"[""android"",""banuba-sdk""]","2020-05-08T09:44:54Z","Banuba/quickstart-android-cpp",4,"Banuba Face AR SDK example for Android in C++ ","null","GLSL","null",6734,"null"
"[""agora"",""android"",""banuba-sdk""]","2020-06-26T14:16:05Z","Banuba/videocall-android-kotlin",3,"The example of Banuba SDK and Agora.io SDK integration to enable augmented reality filters in video calls for Android.","null","GLSL","null",6230,"null"
"[""agora"",""banuba-sdk"",""ios"",""swift""]","2020-05-25T09:23:50Z","Banuba/videocall-ios-swift",5,"ios The example of Banuba SDK and Agora.io SDK integration to enable augmented reality filters in video calls.","null","GLSL","null",8954,"null"
"[""android"",""hololens"",""unity""]","2017-02-10T20:04:16Z","Benhudds/MonopolyAR",4,"A second year group project augmented reality application developed using Unity and an Android device with the intention of use on a Microsoft HoloLens .","null","C#","null",130769,"null"
"[""app"",""arkit"",""ios"",""ipados"",""swift""]","2017-10-22T12:34:18Z","BerlinerMauAR/MauAR",5,"Berlin wall rebuild: Augmented Reality App for iOS","null","Swift","null",8462,"null"
"[""android"",""ios"",""spatial"",""unity3d""]","2019-12-11T23:30:16Z","BerwinZ/Multiplayer_AR_Robots_Battle",3,"spatial Multiplayer AR Robots Battle is the game where you could operate robots to fight with others in different modes, including PVE, PVP, and AR PVP. Within AR PVP mode, you and your friends could bring your robots into real world, and fight in any scenes! This repo supports both Android and iOS systems. The AR scene sharing is based on Microsoft Azure Spatial Anchors service.","null","C#","null",1136340,"null"
"[""app"",""arkit"",""ios"",""realitykit""]","2020-10-19T03:05:26Z","Best-490-Group/nucleAR",3,"nucleAR is an augmented reality app for iPhone enabling a curriculum driven escape room.","null","Swift","null",174453,"null"
"[""arcore"",""unity3d""]","2020-01-25T17:46:01Z","Bit-Wizards/TowAR",4,"Hackathon AR Project","null","C#","null",22380,"null"
"[""markerless"",""unity"",""unity3d"",""wikitude""]","2017-05-01T18:45:29Z","Bmax-Tech/Wikitude-AR",5,"MTIT Assignment III","null","ShaderLab","null",174516,"null"
"[""arkit"",""cocoapods"",""ios"",""swift""]","2017-07-13T05:59:30Z","Boris-Em/ARCharts",680,"Lovely Augmented Reality Charts for iOS - Built with ARKit","null","Swift","null",1957,"null"
"[""hololens"",""magicleap"",""unity""]","2019-03-16T14:04:01Z","CJT-Jackton/Mixed-Reality-Theater",8,"Virtual stage effects by augmented reality glasses.","null","C#","null",527913,"null"
"[""hololens"",""holotoolkit"",""unity"",""vr"",""xrtk""]","2017-03-05T15:54:59Z","CMDann/hololens-starter",6,"xrtk A starter project for working with the Microsoft Hololens . You just need to build and plug in your Hololens to get started. Enjoy a white van, I encourage you to add your own objects.","null","C#","null",49783,"null"
"[""android"",""unity""]","2018-07-18T15:59:11Z","CallumHoughton18/ChemViewAR",7,"A molecular viewer augmented reality android app. Designed using Unity and ARCore.","null","C#","null",236805,"null"
"[""ai"",""app"",""arkit"",""coreml"",""ios"",""ml""]","2018-02-22T08:30:22Z","Calonca/saveSession-ARKit-CoreML",8,"ai A project to show the possibility to save and load session in ARkit using CoreML, the end goal is to make a guided tours app","null","Swift","null",24763,"null"
"[]","2017-10-23T17:03:27Z","CankayaUniversity/ceng-407-408-2017-2018-project-augmented-reality-alp-and-framework",4,"ceng-407-408-project-augmented-reality-alp-and-framework created by GitHub Classroom","null","C#","null",61394,"null"
"[]","2019-10-19T13:32:00Z","CankayaUniversity/ceng-407-408-2019-2020-Smart-booklet-empowered-by-augmented-reality",4,"Smart booklet empowered by augmented reality","null","null","null",31879,"null"
"[""web"",""webar""]","2018-10-20T22:51:27Z","Carnaux/Web-AR-BIM-Visualization",6,"webar A visualization of a BIM using Web Augmented Reality . (PROTOTYPE)","null","JavaScript","null",22268,"null"
"[""android""]","2017-04-29T16:59:02Z","Cesarsk/Android-QR-Code-on-AR",3,"Display in Augmented Reality your models stored in a QR-Code","null","HTML","null",64446,"null"
"[""hololens""]","2016-09-17T17:31:10Z","ChenJonathan/Logo-Lens",3,"Microsoft HoloLens application for HackMIT. Logo Lens presents relevant stock quote data when a user sees a company logo while wearing the HoloLens .","null","C#","null",64025,"null"
"[""arkit"",""unity""]","2018-11-29T13:01:11Z","Chiang-Yuan/CADReality",4,"3D realtime design drawing, modification and presentation using augmented reality technology on the Unity platform.","null","C#","null",289,"null"
"[""hololens"",""mixed-reality"",""unity""]","2018-02-08T21:11:29Z","ChildrensResearchInstitute/MixedRealityStarterKit",7,"Children's Research Institute's Mixed Reality Starter Kit is a reusable collection of C# scripts and Unity prefab assets that can be used to publish HoloLens apps that display interactive 3D holograms with little to no programming or scripting knowledge.","null","C#","null",29619,"null"
"[]","2020-03-27T14:49:26Z","ChristopheBougere/avatarz",4,"Attend online meetings in augmented reality","null","JavaScript","null",6903,"null"
"[""arcore"",""arkit"",""mixed-reality"",""tango"",""unity3d"",""vuforia""]","2017-05-03T21:37:58Z","CityScope/CS_CityScopeAR",4,"arkit tango vuforia AR/MR application for CityScope Platform using CityIO Server [Unity3d/ARCore/ARkit/Tango/Vuforia]","null","JavaScript","null",199803,"null"
"[""app"",""ios"",""scenekit"",""swift""]","2019-11-24T19:47:48Z","ClayNegen/IOS-AR-Solar-System",3,"Build your own solar system and see it in front of your eyes! We are using Xcode to build an IOS app in swift that utilizes the SceneKit as well as the Augmented Reality kit provided by apple. ","null","Swift","null",6056,"null"
"[]","2018-03-05T15:51:55Z","Cognitics/gpkg-arna",3,"Augmented Reality Navigation Assistance Using GeoPackage","null","Java","null",65757,"null"
"[""mixed-reality"",""vr""]","2017-08-22T17:45:01Z","CognitiveVR/cvr-sdk-cpp",5,"Cognitive3D SDK for C++ - Analytics for VR/AR/MR","null","C++","null",1988,"null"
"[""mixed-reality"",""unity"",""vr""]","2016-04-22T20:44:33Z","CognitiveVR/cvr-sdk-unity",18,"Cognitive3D SDK for Unity - Analytics for VR/AR/MR","null","C#","null",108180,"null"
"[""unity"",""unity3d"",""vr""]","2017-06-29T21:41:20Z","ColumbiaCGUI/MercuryMessaging",29,"A framework and encompassing toolkit to facilitate nonspatial communication in the Unity game engine.","null","C#","null",7694,"null"
"[""unity"",""vuforia""]","2018-10-12T03:15:27Z","Comic-Con-Museum/ccm-augmented-reality",4,"The Unity/Vuforia component of Comic-Con Museum's Virtual Museum.","null","C#","null",2686,"null"
"[""arkit"",""medical""]","2018-03-25T20:08:54Z","Cotters/FitAR",3,"medical Augmented reality fitness app.","null","Swift","null",24579,"null"
"[""unreal""]","2018-07-03T09:24:43Z","CrazyGame/Mixed-Reality-for-Unreal-Engine-4.19",4,"unreal Mixed Reality for unreal 4.19","null","C++","null",39892,"null"
"[]","2019-02-18T22:22:31Z","CreatingARVR/Chapter-08---Best-Practices",8,"Updated Code Examples from the book Creating Augmented and Virtual Realities","null","C#","null",5,"null"
"[""android"",""app"",""arcore""]","2018-01-19T20:57:32Z","Cvarier/ARTrade",4,"A simple Android app utilizing the ARCore SDK that lets you place a 3D object on a detected plane and interact with it","null","Java","null",1833,"null"
"[]","2018-05-17T13:33:23Z","Cybernetics-Lab-Aachen/Mixed-Reality-Voice-Training",3,"null","null","null","null",108549,"null"
"[]","2019-11-21T18:50:43Z","D3adShoT/AR-EHuman",4,"E-Human Anatomy using Augmented reality","null","ShaderLab","null",75705,"null"
"[]","2017-07-31T18:34:35Z","DJNikka/OutsideAR",12,"A map using Augmented Reality to enhance festival experience","null","Swift","null",24499,"null"
"[""arkit"",""ios"",""swift""]","2018-07-01T06:42:30Z","DamascenoRafael/kinemar-ios",5,"iOS application using augmented reality with ARKit 2.0 applied in movie posters to present information such as the movie trailer, where to buy tickets, synopsis, director, actors and ratings.","null","Swift","null",15000,"null"
"[""ai"",""vr"",""webgl""]","2017-10-22T14:20:17Z","DanRuta/WebSight",24,"Aiding the visually impaired through real time augmented reality, AI object detection, WebGL shaders effects such as edge detection, and colour adjustments.","null","JavaScript","null",9789,"null"
"[]","2017-09-27T14:35:53Z","DaoKeLegend/Handling-3D-Interaction-and-UI-Controls-in-Augmented-Reality",6,"AR相关","null","Swift","null",28786,"null"
"[""computer-vision"",""opencv""]","2020-08-01T22:47:31Z","DarshilShah-12/ARSudokuSolver",4,"This is a basic augmented reality project I picked up to learn more about computer vision and gain experience using the OpenCV library in Python. Upon being shown an incomplete sudoku board on a camera through a live video feed, it augments the missing digits back onto the board in real-time.","null","Python","null",13195,"null"
"[]","2017-05-24T03:38:17Z","DataMesh-OpenSource/MeshExpert-Live",8,"A mixed-reality-show Product by DataMesh Inc.","null","null","null",655,"null"
"[""hololens"",""mixed-reality""]","2017-05-22T10:05:48Z","DataMesh-OpenSource/SolarSystemExplorer",12,"Amazing Mixed Reality show of solar system for HoloLens , PC, Surface, and Spectator View.","null","C#","null",216487,"null"
"[""computer-vision"",""photogrammetry""]","2017-04-08T14:40:13Z","DavideACucci/visiona",22,"an optical coded target tracking library.","null","C++","null",80,"null"
"[""unity"",""unity3d"",""webar"",""webassembly"",""webgl"",""webvr"",""webxr"",""xrtk""]","2020-02-15T00:05:34Z","De-Panther/unity-webxr-export",216,"xrtk Develop and export WebXR experiences using Unity WebGL","null","C#","null",493015,"null"
"[""deepar"",""react"",""react-native""]","2020-03-05T14:47:02Z","DeepARSDK/example-reactnative",13,"DeepAR SDK React Native example (iOS and Android)","null","Java","null",35492,"null"
"[""android"",""deepar""]","2019-12-05T14:57:21Z","DeepARSDK/quickstart-android-java",13,"DeepAR SDK for Android example project","null","Java","null",19203,"null"
"[""deepar"",""ios"",""swift""]","2019-12-12T13:54:23Z","DeepARSDK/quickstart-ios-swift",19,"ios DeepAR SDK for iOS example project","null","Swift","null",18684,"null"
"[""deepar"",""web""]","2020-02-28T15:36:26Z","DeepARSDK/quickstart-web-js",8,"DeepAR SDK for Web example project","null","HTML","null",8088,"null"
"[""agora"",""deepar"",""ios"",""swift""]","2019-12-19T16:20:27Z","DeepARSDK/videocall-ios-swift",5,"agora ios Video call using Agora.io SDK with face masks provided by DeepAR SDK","null","Swift","null",17627,"null"
"[""hololens""]","2017-06-07T09:32:05Z","Dhivin/ABB-robot-Hololens",6,"ABB industrial robot programming using Microsoft Hololens","null","C#","null",120520,"null"
"[""arkit""]","2017-08-03T10:43:25Z","DigitalLeaves/MyFirstARApp",6,"Sample code for the first ""Augmented Reality With ARKit for iOS"" tutorial found here:  https://digitalleaves.com/blog/2017/08/augmented-reality-arkit/ ‎","null","Swift","null",727,"null"
"[""computer-vision"",""opengl"",""qt""]","2019-04-24T20:03:05Z","DistinctVision/tetris_on_the_house",23,"Augmented reality game","null","C++","null",13577,"null"
"[]","2018-12-26T10:10:48Z","Domeee/ar-weekly",3,"A weekly email for busy people who care about augmented reality","null","HTML","null",5536,"null"
"[]","2017-12-29T10:17:21Z","Domeee/awesome-augmented-reality",18,"A curated list of mixed reality awesomeness","null","null","null",12,"null"
"[""android"",""arcore"",""phone""]","2018-12-06T14:36:55Z","Dr-LYK/Pokimoni",4,"Pokimoni is an Android application based on the famous Pokémon Go phone game published by Niantic. ARCore Google's platform is used in order to build an augmented reality experience. ","null","Kotlin","null",91688,"null"
"[""hololens""]","2016-08-08T22:07:30Z","Drakmyth/Slalom-HoloChess",3,"Star Wars HoloChess for Microsoft HoloLens - Slalom Consulting HoloLens Hackathon 2017","null","C#","null",13525,"null"
"[""web""]","2020-08-06T04:19:26Z","DuckyBoy343/ARSolaris",3,"Proyecto de Desarrollo Tecnológico. Aplicación de la Realidad Aumentada para la Enseñanza de la Astronomía.","null","HTML","null",166004,"null"
"[""hololens"",""holotoolkit"",""unity"",""windows""]","2017-04-25T09:05:21Z","DynaSpan/MixedRealityNetworking",27,"UDP networking library for Unity in combination with windows and/or Hololens","null","C#","null",19,"null"
"[""ar-js"",""three-js""]","2019-01-16T17:50:24Z","EPSIBordeaux/ar-cube",3,"Augmented Reality : 3D Cube","null","JavaScript","null",8423,"null"
"[""arcore"",""arkit"",""nativescript"",""sceneform""]","2017-09-22T19:36:54Z","EddyVerbruggen/nativescript-ar",107,"Augmented Reality NativeScript plugin","null","TypeScript","null",244050,"null"
"[""opencv"",""web""]","2020-03-08T03:43:13Z","EdwardLu2018/wasm-ar",8,"Playing around with Augmented Reality on the web using OpenCV and WebAssembly.","null","JavaScript","null",207461,"null"
"[""android"",""arcore"",""sceneform""]","2019-09-21T20:12:43Z","EeshaArif/ArFlexe",7,"An Android Application showcasing the use of Augmented Reality in the Furniture and Education Industry (-ARCore-)","null","Java","null",421788,"null"
"[""arkit"",""urhosharp"",""xamarin""]","2017-07-27T15:40:06Z","EgorBo/ARKitXamarinDemo",40,"ARKit + UrhoSharp + Xamarin","null","C#","null",34356,"null"
"[""urhosharp"",""xamarin""]","2017-10-18T09:15:57Z","EgorBo/UrhoArkitTemplate",5,"urhosharp xamarin Demo for https://blog.xamarin.com/bring-3d-models-life-augmented-reality-urhosharp/","null","C#","null",20,"null"
"[]","2020-11-10T14:45:05Z","EmanuelJovito/GoogleGlass",3,"Projeto Google Glass by Guanabara ","null","HTML","null",37687,"null"
"[]","2017-03-13T06:37:57Z","EmergingExperiencesMVP/MixedRealityProjectTemplates",14,"C++ and C# Visual Studio 2017 Project Templates for Holographic/Mixed Reality APIs","null","HTML","null",7848,"null"
"[""cardboard"",""googlevr"",""opencv"",""unity""]","2017-02-15T09:47:48Z","EnoxSoftware/GoogleVRWithOpenCVForUnityExample",10,"GoogleVR With OpenCVForUnity Example","null","C#","null",91402,"null"
"[""hololens"",""holotoolkit"",""mixed-reality"",""opencv"",""unity""]","2017-05-13T19:19:41Z","EnoxSoftware/HoloLensWithDlibFaceLandmarkDetectorExample",17,"HoloLens With DlibFaceLandmarkDetector Example","null","C#","null",353745,"null"
"[""aruco"",""hololens"",""holotoolkit"",""mixed-reality"",""opencv"",""unity""]","2017-02-07T11:50:53Z","EnoxSoftware/HoloLensWithOpenCVForUnityExample",148,"HoloLens With OpenCVforUnity Example","null","C#","null",8814,"null"
"[""dlib"",""magicleap"",""unity""]","2019-01-30T15:40:33Z","EnoxSoftware/MagicLeapWithDlibFaceLandmarkDetectorExample",7,"MagicLeap with DlibFaceLandmarkDetector Example","null","C#","null",6891,"null"
"[""magicleap"",""opencv"",""unity""]","2019-01-30T14:52:06Z","EnoxSoftware/MagicLeapWithOpenCVForUnityExample",19,"MagicLeap with OpenCVforUnity Example","null","C#","null",3202,"null"
"[""marker"",""opencv"",""unity""]","2017-02-13T08:26:36Z","EnoxSoftware/MarkerBasedARExample",10,"This asset is an Augmented Reality Example that detect and recognize marker and display 3D model in WebCamTexture in real-time.","null","C#","null",96109,"null"
"[""marker"",""markerless"",""opencv"",""unity""]","2017-02-13T05:02:43Z","EnoxSoftware/MarkerLessARExample",18,"This asset is a markerless Augmented Reality Example using the actual environment as input instead of printed square marker and display 3d model in WebCamTexture in real-time.","null","C#","null",119671,"null"
"[""opencv"",""unity"",""vuforia""]","2017-02-15T13:56:57Z","EnoxSoftware/VuforiaWithOpenCVForUnityExample",50,"Vuforia with OpenCV for Unity Example","null","C#","null",23412,"null"
"[""robotics"",""ros"",""unity""]","2020-03-09T14:04:38Z","EricVoll/ARbotics",8,"soft real-time interactive simulation and visualization framework in AR for robotic systems based on ROS","null","C#","null",110172,"null"
"[""arcore"",""unity""]","2018-02-28T15:54:20Z","Erkaman/teapot_shooter",30,"Augmented Reality Teapot Shooter made using Unity and ARCore","null","C#","null",32063,"null"
"[""appstudio"",""arcgis""]","2017-04-28T02:22:00Z","Esri/AuGeo",32,"AuGeo - Augmented Reality for ArcGIS","null","null","null",21,"null"
"[""appstudio"",""arcgis"",""nativescript""]","2016-09-11T21:25:18Z","Esri/Trek2There",9,"Trek2There™","null","QML","null",1240,"null"
