"tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""book"",""n"",""u"",""l"",""l""]","2017-08-16T19:20:13Z","ARUnityBook/ARBook-ARKit",8,"Projects from the book ""Augmented Reality for Developers"" - ARKit implementations","null","C#","[""C#"",""ShaderLab"",""Objective-C++""]",27081,"null"
"[""book"",""n"",""u"",""l"",""l""]","2017-11-10T19:20:02Z","ARUnityBook/ARBook-ARUnity",12,"Projects from the book ""Augmented Reality for Developers"" - Unity ARInterface version","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Objective-C++""]",97152,"null"
"[""book"",""n"",""u"",""l"",""l""]","2017-08-14T20:38:07Z","ARUnityBook/ARBook-Vuforia",18,"Projects from the book ""Augmented Reality for Developers"" - Vuforia implementations","null","C#","[""C#"",""ShaderLab"",""JavaScript""]",110284,"null"
"[""arcore"",""arcore-unity"",""ar"",""augmented"",""augmented-reality"",""tool"",""toolkit""]","2018-02-27T06:16:34Z","ARX-SKE12/ARCoreToolkit-Unity",4,"Toolkit for ARCore in Unity Platform based on Example of ARCore","[""arcore"",""arcore-unity"",""ar"",""augmented"",""augmented-reality"",""tool"",""toolkit""]","C#","[""GLSL"",""C#"",""ShaderLab""]",4999,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""cli"",""developer-tools"",""tools"",""notifications"",""cli"",""developer-tools"",""tool"",""tools"",""notifications""]"
"[""data"",""augmented"",""reality"",""ar-representation"",""pypip""]","2020-09-15T14:29:27Z","ARgorithm/toolkit",6,"Visualize your data structures in augmented reality","[""ar-representation"",""pypip""]","Python","[""Makefile"",""Python"",""Dockerfile""]",2501,"null"
"[""location-based"",""n"",""u"",""l"",""l""]","2017-11-23T15:09:21Z","ARjs-org/location-based-ar",17,"Experimentation about location-based Augmented Reality","null","HTML","[""JavaScript"",""HTML""]",206,"null"
"[""processing"",""markers"",""applications"",""processing"",""augmented-reality"",""ar-markers"",""vuforia"",""java""]","2017-02-06T16:29:35Z","ASPePeX/AR-Marker-Generator",21,"A processing sketch that generates markers for Augmented Reality applications like Vuforia.","[""processing"",""augmented-reality"",""ar-markers"",""vuforia"",""java""]","Processing","[""Processing""]",165,"[""wechat"",""python"",""weather"",""recommender-system"",""weixin"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""android"",""gradle"",""kotlin"",""javafx""]"
"[""travel"",""app"",""image"",""model"",""mixed"",""reality"",""n"",""u"",""l"",""l""]","2019-01-09T18:48:04Z","Aayush005/ARravel",3,"AN AR+VR travel app that converts 2 image intoa 3D model of mixed reality (AR+VR)","null","Java","[""Java""]",5629,"null"
"[""assistant"",""augmented-reality"",""assistant""]","2018-03-16T22:44:47Z","Abhey/Vision",5,"Vision is your Augmented Reality (AR) assistant which encompasses multiple features and provides a hassle-free User Interface","[""augmented-reality"",""assistant""]","C#","[""C#"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""ShaderLab"",""HTML"",""Shell"",""Python"",""HLSL""]",237514,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi""]"
"[""development"",""n"",""u"",""l"",""l""]","2019-03-19T15:54:05Z","AccionaMixedReality/acciona.mlutils",3,"Some powerfull extra tools for Magic Leap development with Unity, made by the Advanced and Digital Innovation Hub from Acciona S.A.","null","C#","[""C#""]",1633,"null"
"[""emoji"",""drawing"",""app"",""arkit"",""augmented-reality"",""ios"",""swift"",""ipad"",""emoji"",""emojis"",""drawing"",""ios11""]","2017-06-10T23:04:52Z","AcroMace/DreamBig",23,"☁🌝☁ 3D emoji drawing iPad app with ARKit and the Apple Pencil ☁🌝☁","[""arkit"",""augmented-reality"",""ios"",""swift"",""ipad"",""emoji"",""emojis"",""drawing"",""ios11""]","Swift","[""Swift"",""Shell""]",804,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""macos"",""swiftui"",""objective-c"",""documentation"",""translation"",""i18n"",""localization"",""documentation"",""translation"",""i18n"",""localization"",""emoji"",""image"",""svg"",""image-processing"",""icons"",""font"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""project"",""games"",""n"",""u"",""l"",""l""]","2018-01-16T20:40:47Z","ActiveNick/AzureStorageDemoUnity3D",5,"Sample Unity project used to demonstrate the use of Azure Storage services in games and Mixed Reality projects.","null","C#","[""C#"",""ShaderLab""]",198722,"null"
"[""game"",""virtual"",""mixed"",""n"",""u"",""l"",""l""]","2016-09-17T03:34:31Z","ActiveNick/DesertShooterVR",3,"Sample first-person-style game for virtual & mixed reality, optimized for Microsoft HoloLens","null","C#","[""C#"",""JavaScript"",""ShaderLab"",""HLSL""]",130884,"null"
"[""bot"",""hololens"",""unity"",""speech"",""bot"",""microsoft-bot-framework"",""microsoft-cognitive-services"",""microsoft-hololens"",""speech-recognition"",""luis""]","2016-08-10T22:14:56Z","ActiveNick/HoloBot",116,"HoloBot is a reusable 3D interface that allows HoloLens & VR users to interact with any bot using Mixed Reality & Speech.","[""hololens"",""unity"",""speech"",""bot"",""microsoft-bot-framework"",""microsoft-cognitive-services"",""microsoft-hololens"",""speech-recognition"",""luis""]","C#","[""C#"",""ShaderLab"",""GLSL""]",48098,"[""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""game"",""unity3d"",""game-development"",""gamedev"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""discord"",""discord-bot"",""slack"",""chatbot"",""parser"",""generator"",""template"",""parsing"",""nim"",""tutorial"",""learning"",""education"",""example"",""godot"",""python"",""ocr"",""pytorch"",""sketch"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot""]"
"[""demo"",""project"",""n"",""u"",""l"",""l""]","2017-06-06T20:24:18Z","ActiveNick/HoloModelShowcase",4,"Mixed Reality demo project for HoloLens used to showcase a new product in 3D.","null","C#","[""C#"",""ShaderLab"",""HLSL""]",59993,"null"
"[""augmented-reality"",""ar"",""unity"",""unity3d"",""sdk"",""list"",""vuforia"",""wikitude"",""kudan"",""8thwall"",""android"",""ios"",""hololens"",""mixed-reality"",""magicleap"",""arkit"",""arcore""]","2019-05-27T09:57:50Z","AgrMayank/AR-With-Unity",11,"Getting started with Augmented Reality using Unity","[""augmented-reality"",""ar"",""unity"",""unity3d"",""sdk"",""list"",""vuforia"",""wikitude"",""kudan"",""8thwall"",""android"",""ios"",""hololens"",""mixed-reality"",""magicleap"",""arkit"",""arcore""]","null","null",64,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""java"",""minecraft"",""mod"",""tree"",""stack"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""kafka"",""spark"",""java"",""scala"",""big-data"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"[""unity"",""unity3d"",""accenture-xr-hackathon"",""hackathon"",""hackathon-project"",""aidxr"",""medical"",""medicine"",""medicare"",""health"",""healthcare"",""emergency"",""emergency-medical-services"",""firstaid"",""android"",""ios"",""augmentedreality"",""ar"",""xr"",""augmented-reality""]","2019-08-21T14:51:31Z","AgrMayank/AidXR",3,"Saving lives through XR!! ","[""unity"",""unity3d"",""accenture-xr-hackathon"",""hackathon"",""hackathon-project"",""aidxr"",""medical"",""medicine"",""medicare"",""health"",""healthcare"",""emergency"",""emergency-medical-services"",""firstaid"",""android"",""ios"",""augmentedreality"",""ar"",""xr"",""augmented-reality""]","C#","[""C#"",""ShaderLab"",""Objective-C++""]",215264,"[""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""game-jam"",""game-off"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""security"",""hacking"",""security-tools"",""pentesting"",""penetration-testing"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""vue"",""vuejs"",""vuex"",""vuejs2"",""vue-router"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""visualization"",""graph"",""data-visualization"",""chart"",""charts"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""augmented-reality"",""vuforia"",""vuforia-sdk"",""unity"",""unity3d"",""android"",""ios"",""c-sharp"",""ar""]","2019-05-27T07:33:36Z","AgrMayank/Solar-System-AR",6,"Our whole Solar System in Augmented Reality!","[""augmented-reality"",""vuforia"",""vuforia-sdk"",""unity"",""unity3d"",""android"",""ios"",""c-sharp"",""ar""]","C#","[""C#"",""ShaderLab"",""Objective-C++""]",36767,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""windows"",""powershell"",""xamarin"",""csharp"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""information"",""unity"",""unity3d"",""app"",""gps"",""navigation"",""android"",""ios"",""ar"",""augmented-reality"",""augmentedreality"",""3d"",""3d-models"",""arfoundation"",""arcore"",""college"",""college-project"",""project""]","2019-09-10T18:17:33Z","AgrMayank/Tri-Netra",4,"An Augmented Reality based information system for Trident Academy of Technology","[""unity"",""unity3d"",""app"",""gps"",""navigation"",""android"",""ios"",""ar"",""augmented-reality"",""augmentedreality"",""3d"",""3d-models"",""arfoundation"",""arcore"",""college"",""college-project"",""project""]","C#","[""C#"",""ShaderLab""]",196759,"[""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""flutter"",""dart"",""android"",""ios"",""flutter-apps"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""vim"",""theme"",""neovim"",""dark-theme"",""vim-plugin"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""opengl"",""graphics"",""webgl"",""vulkan"",""elixir"",""hacktoberfest"",""python"",""erlang"",""elm"",""kafka"",""spark"",""java"",""scala"",""big-data"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""minecraft"",""email"",""plugin"",""delphi"",""java"",""python"",""time-series"",""hacktoberfest"",""management"",""slides""]"
"[""watson-assistant"",""watson-speech"",""watson-text"",""unity"",""arcore"",""watson-sdk"",""arkit"",""unity-sdk"",""phone"",""android"",""ios"",""unity3d"",""ai"",""ml"",""text"",""speech"",""nlp"",""natural-language-processing"",""ibm-cloud"",""ibm-watson""]","2019-08-05T16:01:32Z","AgrMayank/Watson-AI-in-ARFoundation",8,"Implementation of IBM Watson AI in Augmented Reality!","[""watson-assistant"",""watson-speech"",""watson-text"",""unity"",""arcore"",""watson-sdk"",""arkit"",""unity-sdk"",""phone"",""android"",""ios"",""unity3d"",""ai"",""ml"",""text"",""speech"",""nlp"",""natural-language-processing"",""ibm-cloud"",""ibm-watson""]","C#","[""C#"",""Shell"",""HTML""]",75452,"[""python"",""python3"",""flask"",""asyncio"",""python-3"",""minecraft"",""email"",""plugin"",""delphi"",""java"",""game"",""unity3d"",""game-development"",""gamedev"",""kafka"",""spark"",""java"",""scala"",""big-data"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""validation"",""typescript"",""form"",""forms"",""react-native"",""ios"",""react"",""mobile"",""swift"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity"",""game-development"",""gamedev"",""deep-learning"",""machine-learning"",""neural-network"",""reinforcement-learning"",""artificial-intelligence"",""machine-learning"",""data-science"",""deep-learning"",""classification"",""machine-learning-algorithms"",""editor"",""ocaml"",""steam"",""reasonml"",""torrent"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""natural-language-processing"",""bert"",""sentiment-analysis"",""pytorch"",""nlp"",""bert"",""sentiment-analysis"",""pytorch"",""laravel"",""php"",""laravel-package"",""package"",""laravel-5-package"",""python"",""python3"",""flask"",""asyncio"",""python-3""]"
"[""edith"",""augmented-reality"",""virtual-reality""]","2019-07-01T04:26:04Z","Ailln/EDITH",3,"🕷️Even Dead, I’m The Hero.","[""edith"",""augmented-reality"",""virtual-reality""]","null","null",1,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""app"",""location"",""information"",""augmented-reality"",""android-ar"",""google-maps-api"",""location-based-services"",""ar-markers""]","2017-04-28T13:02:29Z","Aish05/Locational-AR",7,"The app will provide location information with AR (Augmented Reality)","[""augmented-reality"",""android-ar"",""google-maps-api"",""location-based-services"",""ar-markers""]","Java","[""Java""]",275,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap""]"
"[""reality"",""app"",""chemistry"",""education"",""n"",""u"",""l"",""l""]","2016-05-26T06:32:03Z","AlexOuyang/AtomAR",5,"Augmented reality app for chemistry education using OpengGL and OpenCV.","null","C++","[""Shell"",""Makefile"",""HTML"",""CSS"",""JavaScript"",""ApacheConf"",""C"",""C++"",""Objective-C"",""CMake"",""Java"",""GLSL"",""Objective-C++"",""C#""]",141814,"null"
"[""project"",""occlusion"",""augmented"",""reality"",""machine"",""learning"",""n"",""u"",""l"",""l""]","2019-04-04T15:17:12Z","AlexanderKub/arkit-ml-occlusion",10,"ARKit proof-of-concept project for handle occlusion in augmented reality using a machine learning","null","Swift","[""Ruby"",""Swift""]",497,"null"
"[""library"",""localization"",""camera"",""n"",""u"",""l"",""l""]","2017-04-05T08:54:30Z","AlexandreLouisnard/augmented-reality-gps-points-android",9,"An Android library that allows to show points with GPS localization on the device camera preview.","null","Java","[""Java""]",530,"null"
"[""augmented"",""reality"",""sudoku"",""opencv-python"",""opencv"",""machine-learning""]","2019-02-22T08:23:53Z","AliShazly/sudoku-py",87,"An augmented reality sudoku solver using OpenCV","[""opencv-python"",""opencv"",""machine-learning""]","Python","[""Python""]",123523,"[""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""data-science"",""deep-learning"",""classification"",""machine-learning-algorithms""]"
"[""unity"",""csharp"",""hololens"",""health"",""surgery"",""augmented-reality""]","2020-01-21T17:34:08Z","AlignSurgical/AugmentedRealityBiopsy",8,"Augmented Reality Guided Biopsy for Microsoft HoloLens 2","[""unity"",""csharp"",""hololens"",""health"",""surgery"",""augmented-reality""]","C#","[""C#"",""ShaderLab"",""GLSL"",""HLSL"",""HTML"",""PowerShell"",""Python"",""JavaScript"",""CSS""]",159604,"[""game"",""unity3d"",""game-development"",""gamedev"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""framework"",""web"",""web"",""applications"",""alpaca-ar"",""augmented-reality"",""ar"",""web"",""html5"",""python""]","2020-04-02T14:52:44Z","Alpaca-AR/Alpaca-AR",4,"Alpaca is a framework to simplify the creation of Augmented Reality extensions for web applications, without modifying the original web applications","[""alpaca-ar"",""augmented-reality"",""ar"",""web"",""html5"",""python""]","JavaScript","[""Dockerfile"",""Python"",""HTML"",""JavaScript""]",3441,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""javascript"",""framework"",""frontend"",""webapp"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""language"",""ruby"",""django"",""python3"",""django-rest-framework"",""flask""]"
"[""game"",""n"",""u"",""l"",""l""]","2019-08-19T16:04:54Z","AltspaceVR/mre-chess",3,"Chess game written using the Mixed Reality Extension SDK","null","TypeScript","[""TypeScript"",""Dockerfile"",""HTML"",""JavaScript""]",14312,"null"
"[""game"",""n"",""u"",""l"",""l""]","2017-12-27T09:33:56Z","AmalJossy/ARTreasureHunt",8,"An Augmented Reality Treasure Hunt game Build using Unity and Vuforia","null","C#","[""C#"",""ShaderLab"",""Java"",""JavaScript""]",102626,"null"
"[""code"",""n"",""u"",""l"",""l""]","2016-06-06T09:18:39Z","AngusKung/Efficient_Surface_Detection",8,"This is the implementational source code of the paper ""Efficient Surface Detection for Augmented Reality on 3D Point Clouds""","null","C++","[""CMake"",""C++""]",80,"null"
"[""shooter"",""game"",""ar"",""game"",""ar-game"",""android-ar"",""android-game"",""android"",""android-augmented-reality"",""augmented-reality"",""augmentedreality"",""unity3d-games"",""unity"",""unity-game"",""unity-android"",""unity3d-game"",""csharp"",""csharp-game"",""unity3d"",""shooter"",""shooter-game"",""survival-shooter-game""]","2018-02-09T18:07:15Z","AnimaRain/ShootAR",10,"An AR shooter game for Android","[""ar"",""game"",""ar-game"",""android-ar"",""android-game"",""android"",""android-augmented-reality"",""augmented-reality"",""augmentedreality"",""unity3d-games"",""unity"",""unity-game"",""unity-android"",""unity3d-game"",""csharp"",""csharp-game"",""unity3d"",""shooter"",""shooter-game"",""survival-shooter-game""]","C#","[""C#""]",49277,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""unity"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""react-native"",""ios"",""react"",""mobile"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""api"",""http"",""rest-api"",""rest"",""swagger"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""game"",""unity3d"",""game-development"",""gamedev"",""python"",""time-series"",""hacktoberfest"",""management"",""slides"",""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""game"",""unity"",""game-development"",""gamedev"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""aws"",""serverless"",""aws-lambda"",""lambda"",""terraform""]"
"[""copresence"",""mixed-reality"",""virtual-reality"",""social-vr"",""realsense""]","2018-08-11T17:00:32Z","Anna-Henson/Wake_CMU_Thesis",4,"Anna Henson's CMU Master's Thesis","[""copresence"",""mixed-reality"",""virtual-reality"",""social-vr"",""realsense""]","C#","[""C#"",""ShaderLab"",""HLSL"",""GLSL"",""Smalltalk"",""C++"",""CMake""]",395959,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""golang"",""go"",""golang-library"",""gin"",""golang-package""]"
"[""api"",""assistant"",""jarvis"",""jarvis-ai"",""avengers"",""marvel"",""mcu"",""augmented-reality"",""artificial-intelligence"",""python"",""javascript"",""django""]","2019-10-25T05:43:30Z","AnubhavMadhav/J.A.R.V.I.S",24,"Just A Rather Very Intelligent System. This is a group Summer Design Project for our Semester 5. This is an Augmented Reailty and AI Powered Web App. Team Members: Kushang Shah, Pallavi Sharma, Nitesh Pachlashiya and Anubhav Madhav.","[""api"",""assistant"",""jarvis"",""jarvis-ai"",""avengers"",""marvel"",""mcu"",""augmented-reality"",""artificial-intelligence"",""python"",""javascript"",""django""]","JavaScript","[""Python"",""CSS"",""HTML"",""JavaScript""]",52444,"[""sdk"",""facebook"",""wrapper"",""google"",""iot"",""mqtt"",""home-assistant"",""home-automation"",""raspberry-pi"",""hacktoberfest"",""open-source"",""opensource"",""community"",""free"",""json"",""xml"",""yaml"",""csv"",""serialization"",""arduino"",""raspberry-pi"",""esp32"",""esp8266"",""bluetooth"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""machine-learning"",""deep-learning"",""reinforcement-learning"",""ai"",""language"",""ruby"",""django"",""python3"",""django-rest-framework"",""flask"",""nodejs"",""typescript"",""emacs"",""deno"",""python"",""python3"",""django-rest-framework"",""flask""]"
